#Saved Data from the class confocal_logic on 27.04.2022 at 10h29m51s.
#
#Parameters:
#===========
#
#X offset (m): 8.5453002805179635e-06
#X image range (m): 1.4999999999999999e-05
#Y offset (m): 2.0826631952603969e-05
#Y image range (m): 1.4999999999999999e-05
#XY resolution (samples per range): 100
#XY Image at z position (m): 3.3043312920193630e-07
#Clock frequency of scanner (Hz): 200
#Return Slowness (Steps during retrace line): 20
#
#Data:
#=====
#x position (m)	y position (m)	z position (m)	count rate /Dev1/Ctr0 (Hz)	
1.212743e-05	1.402811e-05	3.621779e-07	1.000000e+03
1.227895e-05	1.402811e-05	3.621779e-07	1.600000e+03
1.243046e-05	1.402811e-05	3.621779e-07	3.000000e+03
1.258198e-05	1.402811e-05	3.621779e-07	4.000000e+02
1.273349e-05	1.402811e-05	3.621779e-07	1.000000e+03
1.288501e-05	1.402811e-05	3.621779e-07	1.800000e+03
1.303652e-05	1.402811e-05	3.621779e-07	1.800000e+03
1.318804e-05	1.402811e-05	3.621779e-07	1.000000e+03
1.333955e-05	1.402811e-05	3.621779e-07	8.000000e+02
1.349107e-05	1.402811e-05	3.621779e-07	1.200000e+03
1.364258e-05	1.402811e-05	3.621779e-07	1.400000e+03
1.379410e-05	1.402811e-05	3.621779e-07	6.000000e+02
1.394561e-05	1.402811e-05	3.621779e-07	1.600000e+03
1.409713e-05	1.402811e-05	3.621779e-07	6.000000e+02
1.424864e-05	1.402811e-05	3.621779e-07	1.800000e+03
1.440016e-05	1.402811e-05	3.621779e-07	2.000000e+03
